psalm,verse_count_mt,word_count_oshb,word_count_base12,word_count_base12_palindrome,letter_count_oshb,letter_count_base12,letter_count_base12_palindrome,standard_value,standard_base12,standard_base12_palindrome,mispar_gadol_value,mispar_gadol_base12,mispar_gadol_base12_palindrome
115,18,135,B3,no,514,36A,no,23383,11647,no,56433,287A9,no
116,19,131,AB,no,516,370,no,28132,14344,no,38732,1A4B8,no
117,2,17,15,no,62,52,no,2294,13B2,no,3974,2372,no
118,29,198,146,no,751,527,no,33326,17352,no,53706,270B6,no
119,176,1064,748,no,4461,26B9,no,332617,1405A1,no,499917,201379,no
120,7,51,43,no,185,135,no,14035,8157,no,22065,10929,no
121,8,56,48,no,203,14B,no,13306,784A,no,24306,12096,no
122,9,62,52,no,260,198,no,17826,A396,no,28086,14306,no
123,4,41,35,no,165,119,no,8944,5214,no,12874,754A,no
124,8,57,49,no,233,175,no,13175,775B,no,21345,10429,no
125,5,49,41,no,212,158,no,11044,6484,no,21394,1046A,no
126,6,50,42,no,208,154,no,12334,717A,no,17784,A360,no
127,5,60,50,no,216,160,no,14657,8595,no,23417,11675,no
128,6,47,3B,no,185,135,no,11259,6623,no,21209,10335,no
129,8,54,46,no,218,162,no,16228,9484,no,22888,112B4,no
130,8,54,46,no,226,16A,no,15727,9127,no,20617,BB21,no
131,3,33,29,no,127,A7,no,7323,42A3,no,8443,4A77,no
132,18,131,AB,no,522,376,no,32413,16911,no,48393,24009,no
133,3,40,34,no,135,B3,no,8342,49B2,no,15602,9042,no
134,3,25,21,no,98,82,no,6007,3587,no,9627,56A3,no
135,21,167,11B,no,646,45A,no,34641,18069,no,64121,31135,no
136,26,166,11A,no,679,487,no,29028,14970,no,61638,2B806,no
137,9,84,70,no,317,225,no,24255,12053,no,36605,19225,no
138,8,76,64,no,285,1B9,no,16178,9442,no,28428,14550,no
139,24,177,129,no,699,4A3,no,46643,22BAB,no,73333,36531,no
140,14,116,98,no,458,322,no,32816,16BA8,no,46066,227AA,no
141,10,95,7B,no,374,272,yes,25924,13004,no,34614,18046,no
142,8,75,63,no,298,20A,no,18311,A71B,no,25481,128B5,no
143,12,117,99,yes,475,337,no,32452,16944,no,50412,25210,no
144,15,130,AA,yes,553,3A1,no,33640,17574,no,55500,28150,no
145,21,152,108,no,646,45A,no,36445,19111,no,61375,2B627,no
146,10,85,71,no,336,240,no,20782,1003A,no,36432,19100,no
147,20,141,B9,no,578,402,no,34024,17834,no,57014,28BB2,no
148,14,111,93,no,424,2B4,no,23994,11A76,no,43684,21344,no
149,9,64,54,no,276,1B0,no,15841,9201,no,24491,1220B,no
150,6,37,31,no,168,120,no,7633,4501,no,8913,51A9,no
