source_decimal,source_base12,source_decimal_palindrome,source_prime,closure_base12,closure_decimal,closure_outer_digit_sum,closure_inner_digit_sum,closure_notation_digit_sum,closure_decimal_first_digit_sum,full_conjunction
1597,B11,no,yes,B11B,19175,22,2,24,23,no
1610,B22,no,no,B22B,19331,22,4,26,17,no
1623,B33,no,no,B33B,19487,22,6,28,29,no
1636,B44,no,no,B44B,19643,22,8,30,23,no
1649,B55,no,no,B55B,19799,22,10,32,35,no
1662,B66,no,no,B66B,19955,22,12,34,29,no
1675,B77,no,no,B77B,20111,22,14,36,5,no
1688,B88,no,no,B88B,20267,22,16,38,17,no
1701,B99,no,no,B99B,20423,22,18,40,11,no
1714,BAA,no,no,BAAB,20579,22,20,42,23,no
1727,BBB,no,no,BBBB,20735,22,22,44,17,no
