basis,reference,position,phrase,word_lengths,total_letters,final_form_count,value,base12,visible_square_root
standard,Lev.25.39,3,אחיך עמך,4-3,7,2,169,121,11
standard,Lev.26.16,13,מכלות עינים,5-5,10,1,676,484,22
standard,Lev.27.4,2,נקבה הוא,4-3,7,0,169,121,11
mispar-gadol,Lev.27.4,2,נקבה הוא,4-3,7,0,169,121,11
mispar-gadol,Mal.1.4,17,להם גבול,3-4,7,1,676,484,22
mispar-gadol,Mal.3.8,3,אלהים כי,5-2,7,1,676,484,22
standard,Mal.3.17,12,עליהם כאשר,5-4,9,1,676,484,22
standard,Mic.1.2,11,לעד אדני,3-4,7,0,169,121,11
mispar-gadol,Mic.1.2,11,לעד אדני,3-4,7,0,169,121,11
standard,Mic.1.12,5,מרות כי,4-2,6,0,676,484,22
mispar-gadol,Mic.1.12,5,מרות כי,4-2,6,0,676,484,22
standard,Mic.2.8,2,עמי לאויב,3-5,8,0,169,121,11
mispar-gadol,Mic.2.8,2,עמי לאויב,3-5,8,0,169,121,11
mispar-gadol,Mic.4.5,6,בשם אלהיו,3-5,8,1,954,676,26
standard,Mic.4.14,5,מצור שם,4-2,6,1,676,484,22
mispar-gadol,Mic.5.6,10,כרביבים עלי,7-3,10,1,954,676,26
mispar-gadol,Nah.1.10,2,עד סירים,2-5,7,1,954,676,26
standard,Nah.3.3,6,חנית ורב,4-3,7,0,676,484,22
mispar-gadol,Nah.3.3,6,חנית ורב,4-3,7,0,676,484,22
standard,Nah.3.19,9,תקעו כף,4-2,6,1,676,484,22
standard,Neh.2.17,15,לכו ונבנה,3-5,8,0,169,121,11
mispar-gadol,Neh.2.17,15,לכו ונבנה,3-5,8,0,169,121,11
standard,Neh.5.2,9,דגן ונאכלה,3-6,9,1,169,121,11
standard,Neh.6.2,7,ונועדה יחדו,6-4,10,0,169,121,11
mispar-gadol,Neh.6.2,7,ונועדה יחדו,6-4,10,0,169,121,11
standard,Neh.7.3,13,יגיפו הדלתות,5-6,11,0,954,676,26
mispar-gadol,Neh.7.3,13,יגיפו הדלתות,5-6,11,0,954,676,26
standard,Neh.9.22,17,עוג מלך,3-3,6,1,169,121,11
standard,Neh.10.35,8,והעם להביא,4-5,9,1,169,121,11
standard,Neh.12.5,2,מעדיה בלגה,5-4,9,0,169,121,11
mispar-gadol,Neh.12.5,2,מעדיה בלגה,5-4,9,0,169,121,11
standard,Neh.12.37,1,ועל שער,3-3,6,0,676,484,22
mispar-gadol,Neh.12.37,1,ועל שער,3-3,6,0,676,484,22
standard,Neh.12.39,4,ועל שער,3-3,6,0,676,484,22
mispar-gadol,Neh.12.39,4,ועל שער,3-3,6,0,676,484,22
standard,Neh.12.39,7,ועל שער,3-3,6,0,676,484,22
mispar-gadol,Neh.12.39,7,ועל שער,3-3,6,0,676,484,22
mispar-gadol,Neh.13.5,4,גדולה ושם,5-3,8,1,954,676,26
standard,Neh.13.15,2,ההמה ראיתי,4-5,9,0,676,484,22
mispar-gadol,Neh.13.15,2,ההמה ראיתי,4-5,9,0,676,484,22
standard,Num.1.9,1,לזבולן אליאב,6-5,11,1,169,121,11
standard,Num.3.27,9,העזיאלי אלה,7-3,10,0,169,121,11
mispar-gadol,Num.3.27,9,העזיאלי אלה,7-3,10,0,169,121,11
standard,Num.8.10,10,ידיהם על,5-2,7,1,169,121,11
standard,Num.8.12,4,ידיהם על,5-2,7,1,169,121,11
mispar-gadol,Num.9.8,8,יהוה לכם,4-3,7,1,676,484,22
standard,Num.10.2,4,חצוצרת כסף,6-3,9,1,954,676,26
standard,Num.10.10,9,עלתיכם ועל,6-3,9,1,676,484,22
mispar-gadol,Num.11.18,21,יהוה לכם,4-3,7,1,676,484,22
standard,Num.11.19,14,עשרים יום,5-3,8,2,676,484,22
mispar-gadol,Num.11.20,8,והיה לכם,4-3,7,1,676,484,22
standard,Num.11.20,22,זה יצאנו,2-5,7,0,169,121,11
mispar-gadol,Num.11.20,22,זה יצאנו,2-5,7,0,169,121,11
mispar-gadol,Num.13.3,8,יהוה כלם,4-3,7,1,676,484,22
standard,Num.14.38,6,יפנה חיו,4-3,7,0,169,121,11
mispar-gadol,Num.14.38,6,יפנה חיו,4-3,7,0,169,121,11
standard,Num.15.26,7,הגר בתוכם,3-5,8,1,676,484,22
standard,Num.15.29,5,הגר בתוכם,3-5,8,1,676,484,22
mispar-gadol,Num.15.30,8,ומן הגר,3-3,6,1,954,676,26
mispar-gadol,Num.15.39,1,והיה לכם,4-3,7,1,676,484,22
standard,Num.16.12,2,משה לקרא,3-4,7,0,676,484,22
mispar-gadol,Num.16.12,2,משה לקרא,3-4,7,0,676,484,22
standard,Num.16.26,17,פן תספו,2-4,6,1,676,484,22
standard,Num.17.27,9,אבדנו כלנו,5-4,9,0,169,121,11
mispar-gadol,Num.17.27,9,אבדנו כלנו,5-4,9,0,169,121,11
standard,Num.17.27,10,כלנו אבדנו,4-5,9,0,169,121,11
mispar-gadol,Num.17.27,10,כלנו אבדנו,4-5,9,0,169,121,11
standard,Num.19.4,3,הכהן מדמה,4-4,8,1,169,121,11
standard,Num.19.5,5,את ערה,2-3,5,0,676,484,22
mispar-gadol,Num.19.5,5,את ערה,2-3,5,0,676,484,22
mispar-gadol,Num.19.10,1,וכבס האסף,4-4,8,1,954,676,26
standard,Num.19.10,15,הגר בתוכם,3-5,8,1,676,484,22
standard,Num.20.25,6,בנו והעל,3-4,7,0,169,121,11
mispar-gadol,Num.20.25,6,בנו והעל,3-4,7,0,169,121,11
standard,Num.21.33,6,עוג מלך,3-3,6,1,169,121,11
standard,Num.22.4,20,מלך למואב,3-5,8,1,169,121,11
mispar-gadol,Num.22.22,3,אלהים כי,5-2,7,1,676,484,22
mispar-gadol,Num.22.38,6,באתי אליך,4-4,8,1,954,676,26
standard,Num.23.8,6,ומה אזעם,3-4,7,1,169,121,11
standard,Num.25.1,4,ויחל העם,4-3,7,1,169,121,11
standard,Num.25.13,7,עולם תחת,4-3,7,1,954,676,26
standard,Num.26.5,10,משפחת הפלאי,5-5,10,0,954,676,26
mispar-gadol,Num.26.5,10,משפחת הפלאי,5-5,10,0,954,676,26
standard,Num.26.30,2,בני גלעד,3-4,7,0,169,121,11
mispar-gadol,Num.26.30,2,בני גלעד,3-4,7,0,169,121,11
standard,Num.26.54,10,יתן נחלתו,3-5,8,1,954,676,26
standard,Num.28.6,1,עלת תמיד,3-4,7,0,954,676,26
mispar-gadol,Num.28.6,1,עלת תמיד,3-4,7,0,954,676,26
standard,Num.28.20,7,לפר ושני,3-4,7,0,676,484,22
mispar-gadol,Num.28.20,7,לפר ושני,3-4,7,0,676,484,22
standard,Num.31.14,6,שרי האלפים,3-6,9,1,676,484,22
standard,Num.31.48,8,שרי האלפים,3-6,9,1,676,484,22
standard,Num.31.52,16,שרי האלפים,3-6,9,1,676,484,22
standard,Num.31.54,8,שרי האלפים,3-6,9,1,676,484,22
standard,Num.32.19,2,לא ננחל,2-4,6,0,169,121,11
mispar-gadol,Num.32.19,2,לא ננחל,2-4,6,0,169,121,11
standard,Num.32.33,20,עוג מלך,3-3,6,1,169,121,11
standard,Num.33.3,12,יצאו בני,4-3,7,0,169,121,11
mispar-gadol,Num.33.3,12,יצאו בני,4-3,7,0,169,121,11
standard,Num.33.20,4,ויחנו בלבנה,5-5,10,0,169,121,11
mispar-gadol,Num.33.20,4,ויחנו בלבנה,5-5,10,0,169,121,11
mispar-gadol,Num.34.3,1,והיה לכם,4-3,7,1,676,484,22
mispar-gadol,Num.34.3,10,והיה לכם,4-3,7,1,676,484,22
mispar-gadol,Num.34.6,3,והיה לכם,4-3,7,1,676,484,22
standard,Num.35.19,7,בפגעו בו,5-2,7,0,169,121,11
mispar-gadol,Num.35.19,7,בפגעו בו,5-2,7,0,169,121,11
standard,Num.35.21,16,בפגעו בו,5-2,7,0,169,121,11
mispar-gadol,Num.35.21,16,בפגעו בו,5-2,7,0,169,121,11
standard,Num.36.1,5,בני גלעד,3-4,7,0,169,121,11
mispar-gadol,Num.36.1,5,בני גלעד,3-4,7,0,169,121,11
standard,Prov.1.15,3,תלך בדרך,3-4,7,2,676,484,22
standard,Prov.2.20,2,תלך בדרך,3-4,7,2,676,484,22
standard,Prov.3.16,4,בשמאולה עשר,7-3,10,0,954,676,26
mispar-gadol,Prov.3.16,4,בשמאולה עשר,7-3,10,0,954,676,26
mispar-gadol,Prov.3.17,2,דרכי נעם,4-3,7,1,954,676,26
standard,Prov.3.34,5,ולעניים יתן,7-3,10,2,676,484,22
standard,Prov.12.8,5,ונעוה לב,5-2,7,0,169,121,11
mispar-gadol,Prov.12.8,5,ונעוה לב,5-2,7,0,169,121,11
standard,Prov.14.23,3,יהיה מותר,4-4,8,0,676,484,22
mispar-gadol,Prov.14.23,3,יהיה מותר,4-4,8,0,676,484,22
mispar-gadol,Prov.14.35,2,מלך לעבד,3-4,7,1,676,484,22
standard,Prov.15.30,7,תדשן עצם,4-3,7,2,954,676,26
standard,Prov.17.18,4,תוקע כף,4-2,6,1,676,484,22
standard,Prov.19.28,7,יבלע און,4-3,7,1,169,121,11
standard,Prov.20.3,3,שבת מריב,3-4,7,0,954,676,26
mispar-gadol,Prov.20.3,3,שבת מריב,3-4,7,0,954,676,26
mispar-gadol,Prov.22.2,5,כלם יהוה,3-4,7,1,676,484,22
standard,Prov.22.18,5,בבטנך יכנו,5-4,9,1,169,121,11
standard,Ps.2.10,4,הוסרו שפטי,5-4,9,0,676,484,22
mispar-gadol,Ps.2.10,4,הוסרו שפטי,5-4,9,0,676,484,22
standard,Ps.7.3,3,כאריה נפשי,5-4,9,0,676,484,22
mispar-gadol,Ps.7.3,3,כאריה נפשי,5-4,9,0,676,484,22
standard,Ps.7.12,5,זעם בכל,3-3,6,1,169,121,11
standard,Ps.9.17,9,הגיון סלה,5-3,8,1,169,121,11
mispar-gadol,Ps.14.5,4,כי אלהים,2-5,7,1,676,484,22
standard,Ps.15.2,2,תמים ופעל,4-4,8,1,676,484,22
standard,Ps.15.5,8,לא לקח,2-3,5,0,169,121,11
mispar-gadol,Ps.15.5,8,לא לקח,2-3,5,0,169,121,11
standard,Ps.18.21,1,יגמלני יהוה,6-4,10,0,169,121,11
mispar-gadol,Ps.18.21,1,יגמלני יהוה,6-4,10,0,169,121,11
standard,Ps.18.26,2,חסיד תתחסד,4-5,9,0,954,676,26
mispar-gadol,Ps.18.26,2,חסיד תתחסד,4-5,9,0,954,676,26
standard,Ps.18.44,6,גוים עם,4-2,6,2,169,121,11
standard,Ps.22.1,3,אילת השחר,4-4,8,0,954,676,26
mispar-gadol,Ps.22.1,3,אילת השחר,4-4,8,0,954,676,26
standard,Ps.27.14,6,לבך וקוה,3-4,7,1,169,121,11
standard,Ps.29.6,2,כמו עגל,3-3,6,0,169,121,11
mispar-gadol,Ps.29.6,2,כמו עגל,3-3,6,0,169,121,11
mispar-gadol,Ps.31.17,3,על עבדך,2-4,6,1,676,484,22
standard,Ps.42.5,14,רנה ותודה,3-5,8,0,676,484,22
mispar-gadol,Ps.42.5,14,רנה ותודה,3-5,8,0,676,484,22
standard,Ps.44.2,9,בימיהם בימי,6-4,10,1,169,121,11
mispar-gadol,Ps.45.9,9,מני שמחוך,3-5,8,1,954,676,26
mispar-gadol,Ps.45.11,6,ושכחי עמך,5-3,8,1,954,676,26
standard,Ps.47.2,3,תקעו כף,4-2,6,1,676,484,22
mispar-gadol,Ps.50.6,4,כי אלהים,2-5,7,1,676,484,22
standard,Ps.52.11,9,נגד חסידיך,3-6,9,1,169,121,11
mispar-gadol,Ps.53.6,7,כי אלהים,2-5,7,1,676,484,22
mispar-gadol,Ps.53.6,13,כי אלהים,2-5,7,1,676,484,22
mispar-gadol,Ps.56.2,2,אלהים כי,5-2,7,1,676,484,22
mispar-gadol,Ps.56.10,9,כי אלהים,2-5,7,1,676,484,22
mispar-gadol,Ps.59.10,4,כי אלהים,2-5,7,1,676,484,22
mispar-gadol,Ps.59.14,6,כי אלהים,2-5,7,1,676,484,22
mispar-gadol,Ps.59.18,4,כי אלהים,2-5,7,1,676,484,22
standard,Ps.68.3,2,עשן תנדף,3-4,7,2,954,676,26
mispar-gadol,Ps.69.2,2,אלהים כי,5-2,7,1,676,484,22
mispar-gadol,Ps.69.36,1,כי אלהים,2-5,7,1,676,484,22
mispar-gadol,Ps.75.8,1,כי אלהים,2-5,7,1,676,484,22
standard,Ps.78.8,4,דור סורר,3-4,7,0,676,484,22
mispar-gadol,Ps.78.8,4,דור סורר,3-4,7,0,676,484,22
standard,Ps.78.9,6,הפכו ביום,4-4,8,1,169,121,11
mispar-gadol,Ps.78.35,2,כי אלהים,2-5,7,1,676,484,22
mispar-gadol,Ps.82.8,8,בכל הגוים,3-5,8,1,676,484,22
mispar-gadol,Ps.84.5,5,יהללוך סלה,6-3,9,1,676,484,22
mispar-gadol,Ps.89.5,8,כסאך סלה,4-3,7,1,676,484,22
standard,Ps.89.23,5,ובן עולה,3-4,7,1,169,121,11
standard,Ps.95.7,11,בקלו תשמעו,4-5,9,0,954,676,26
mispar-gadol,Ps.95.7,11,בקלו תשמעו,4-5,9,0,954,676,26
standard,Ps.95.9,4,בחנוני גם,6-2,8,1,169,121,11
standard,Ps.101.5,4,אותו אצמית,4-5,9,0,954,676,26
mispar-gadol,Ps.101.5,4,אותו אצמית,4-5,9,0,954,676,26
mispar-gadol,Ps.104.24,4,יהוה כלם,4-3,7,1,676,484,22
standard,Ps.105.22,2,שריו בנפשו,4-5,9,0,954,676,26
mispar-gadol,Ps.105.22,2,שריו בנפשו,4-5,9,0,954,676,26
mispar-gadol,Ps.106.11,5,מהם לא,3-2,5,1,676,484,22
mispar-gadol,Ps.119.17,2,על עבדך,2-4,6,1,676,484,22
standard,Ps.119.37,3,מראות שוא,5-3,8,0,954,676,26
mispar-gadol,Ps.119.37,3,מראות שוא,5-3,8,0,954,676,26
standard,Ps.119.59,1,חשבתי דרכי,5-4,9,0,954,676,26
mispar-gadol,Ps.119.59,1,חשבתי דרכי,5-4,9,0,954,676,26
standard,Ps.119.83,5,חקיך לא,4-2,6,1,169,121,11
standard,Ps.119.155,5,חקיך לא,4-2,6,1,169,121,11
standard,Ps.121.6,2,השמש לא,4-2,6,0,676,484,22
mispar-gadol,Ps.121.6,2,השמש לא,4-2,6,0,676,484,22
mispar-gadol,Ps.127.5,7,מהם לא,3-2,5,1,676,484,22
mispar-gadol,Ps.140.11,3,גחלים באש,5-3,8,1,954,676,26
standard,Ps.142.4,1,בהתעטף עלי,6-3,9,1,676,484,22
standard,Ps.146.7,7,יהוה מתיר,4-4,8,0,676,484,22
mispar-gadol,Ps.146.7,7,יהוה מתיר,4-4,8,0,676,484,22
standard,Ps.149.9,8,חסידיו הללו,6-4,10,0,169,121,11
mispar-gadol,Ps.149.9,8,חסידיו הללו,6-4,10,0,169,121,11
mispar-gadol,Ruth.1.9,2,יהוה לכם,4-3,7,1,676,484,22
standard,Ruth.2.8,18,תדבקין עם,6-2,8,2,676,484,22
standard,Song.2.3,6,בין הבנים,3-5,8,2,169,121,11
mispar-gadol,Song.3.8,1,כלם אחזי,3-4,7,1,676,484,22
standard,Song.5.1,4,כלה אריתי,3-5,8,0,676,484,22
mispar-gadol,Song.5.1,4,כלה אריתי,3-5,8,0,676,484,22
standard,Song.6.1,7,פנה דודך,3-4,7,1,169,121,11
standard,Zech.8.5,5,וילדות משחקים,6-6,12,1,954,676,26
standard,Zech.9.1,6,ודמשק מנחתו,5-5,10,0,954,676,26
mispar-gadol,Zech.9.1,6,ודמשק מנחתו,5-5,10,0,954,676,26
standard,Zech.11.4,5,רעה את,3-2,5,0,676,484,22
mispar-gadol,Zech.11.4,5,רעה את,3-2,5,0,676,484,22
mispar-gadol,Zech.14.1,1,הנה יום,3-3,6,1,676,484,22
standard,Zeph.2.8,11,ויגדילו על,7-2,9,0,169,121,11
mispar-gadol,Zeph.2.8,11,ויגדילו על,7-2,9,0,169,121,11
standard,Zeph.3.2,3,בקול לא,4-2,6,0,169,121,11
mispar-gadol,Zeph.3.2,3,בקול לא,4-2,6,0,169,121,11
