analysis_layer,analysis_status,value_system,base,observed_palindromes,observed_rank,control_mean,control_median,control_interval_2_5,control_interval_97_5,simulations_at_least_observed,empirical_upper_tail
expanded-biblical-all,exploratory-sensitivity,standard,14,3,18,5.59339,5.0,2.0,10.0,92498,0.924980750192498
expanded-biblical-all,exploratory-sensitivity,standard,15,4,13,5.56417,5.0,2.0,10.0,81678,0.8167818321816782
expanded-biblical-all,exploratory-sensitivity,standard,16,4,13,4.85627,5.0,1.0,9.0,72066,0.7206627933720663
expanded-biblical-all,exploratory-sensitivity,standard,17,4,13,4.70408,5.0,1.0,9.0,70003,0.7000329996700033
expanded-biblical-all,exploratory-sensitivity,standard,18,4,13,4.34191,4.0,1.0,9.0,63640,0.6364036359636404
expanded-biblical-all,exploratory-sensitivity,standard,19,0,19,4.61949,4.0,1.0,9.0,100000,1.0
expanded-biblical-all,exploratory-sensitivity,standard,20,5,10,4.13685,4.0,1.0,8.0,39794,0.3979460205397946
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,2,8,4,3.78393,4.0,1.0,8.0,3409,0.034099659003409964
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,3,9,2,4.18517,4.0,1.0,8.0,2329,0.023299767002329975
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,4,6,7,4.39879,4.0,1.0,9.0,27689,0.2768972310276897
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,5,4,10,4.48132,4.0,1.0,9.0,66160,0.6616033839661604
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,6,4,10,4.04805,4.0,1.0,8.0,58055,0.5805541944580555
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,7,7,6,3.97354,4.0,1.0,8.0,10028,0.1002889971100289
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,8,6,7,4.28592,4.0,1.0,9.0,25527,0.25527744722552775
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,9,6,7,5.25217,5.0,1.0,10.0,43028,0.43028569714302856
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,10,8,4,5.65376,6.0,2.0,10.0,20295,0.20295797042029579
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,11,9,2,6.34211,6.0,2.0,11.0,18264,0.18264817351826482
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,12,12,1,6.40186,6.0,2.0,12.0,2546,0.025469745302546976
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,13,4,10,6.06469,6.0,2.0,11.0,86465,0.8646513534864652
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,14,4,10,5.59614,5.0,2.0,10.0,81853,0.8185318146818532
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,15,2,17,5.31055,5.0,1.0,10.0,97217,0.972170278297217
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,16,2,17,4.95066,5.0,1.0,10.0,96158,0.961580384196158
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,17,3,15,4.61667,4.0,1.0,9.0,84751,0.8475115248847511
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,18,3,15,4.33661,4.0,1.0,9.0,81503,0.8150318496815032
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,19,2,17,4.47863,4.0,1.0,9.0,94187,0.9418705812941871
expanded-biblical-all,exploratory-sensitivity,mispar_gadol,20,4,10,4.06285,4.0,1.0,8.0,58459,0.5845941540584594
restored-christian-inclusive,exploratory-sensitivity,standard,2,3,7,1.79028,2.0,0.0,5.0,26368,0.26368736312636876
restored-christian-inclusive,exploratory-sensitivity,standard,3,6,1,1.92597,2.0,0.0,5.0,1058,0.01058989410105899
restored-christian-inclusive,exploratory-sensitivity,standard,4,3,7,2.15121,2.0,0.0,5.0,36461,0.3646163538364616
restored-christian-inclusive,exploratory-sensitivity,standard,5,3,7,1.99214,2.0,0.0,5.0,32160,0.3216067839321607
restored-christian-inclusive,exploratory-sensitivity,standard,6,4,4,2.03289,2.0,0.0,5.0,14068,0.14068859311406887
restored-christian-inclusive,exploratory-sensitivity,standard,7,5,3,2.18006,2.0,0.0,5.0,6153,0.061539384606153935
restored-christian-inclusive,exploratory-sensitivity,standard,8,2,11,2.54854,2.0,0.0,6.0,73716,0.7371626283737163
restored-christian-inclusive,exploratory-sensitivity,standard,9,2,11,2.85048,3.0,0.0,6.0,79392,0.7939220607793922
restored-christian-inclusive,exploratory-sensitivity,standard,10,2,11,2.68116,3.0,0.0,6.0,76237,0.7623723762762372
restored-christian-inclusive,exploratory-sensitivity,standard,11,4,4,2.64905,3.0,0.0,6.0,27166,0.2716672833271667
restored-christian-inclusive,exploratory-sensitivity,standard,12,6,1,2.42088,2.0,0.0,6.0,3023,0.03023969760302397
restored-christian-inclusive,exploratory-sensitivity,standard,13,3,7,2.23637,2.0,0.0,5.0,39002,0.3900260997390026
restored-christian-inclusive,exploratory-sensitivity,standard,14,2,11,2.01422,2.0,0.0,5.0,60764,0.6076439235607644
restored-christian-inclusive,exploratory-sensitivity,standard,15,0,19,1.94941,2.0,0.0,5.0,100000,1.0
restored-christian-inclusive,exploratory-sensitivity,standard,16,1,16,1.78746,2.0,0.0,5.0,84206,0.8420615793842061
restored-christian-inclusive,exploratory-sensitivity,standard,17,2,11,1.73241,2.0,0.0,5.0,52299,0.5229947700522994
restored-christian-inclusive,exploratory-sensitivity,standard,18,1,16,1.55297,1.0,0.0,4.0,79625,0.7962520374796253
restored-christian-inclusive,exploratory-sensitivity,standard,19,1,16,1.76467,2.0,0.0,5.0,83896,0.8389616103838962
restored-christian-inclusive,exploratory-sensitivity,standard,20,4,4,1.42809,1.0,0.0,4.0,5202,0.05202947970520295
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,2,3,5,1.60063,1.0,0.0,4.0,21393,0.21393786062139378
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,3,6,2,1.75797,2.0,0.0,5.0,665,0.006659933400665993
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,4,2,7,1.92896,2.0,0.0,5.0,58475,0.5847541524584754
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,5,2,7,1.88207,2.0,0.0,5.0,57088,0.5708842911570884
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,6,1,14,1.73396,2.0,0.0,5.0,83683,0.8368316316836831
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,7,4,4,1.74756,2.0,0.0,5.0,9152,0.09152908470915291
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,8,2,7,1.89412,2.0,0.0,5.0,57595,0.5759542404575955
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,9,2,7,2.27462,2.0,0.0,5.0,67687,0.6768732312676873
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,10,5,3,2.33769,2.0,0.0,6.0,7880,0.07880921190788093
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,11,3,5,2.5246,2.0,0.0,6.0,46842,0.46842531574684254
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,12,7,1,2.40378,2.0,0.0,6.0,846,0.008469915300846991
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,13,2,7,2.26071,2.0,0.0,5.0,67199,0.6719932800671994
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,14,1,14,2.06475,2.0,0.0,5.0,88274,0.8827411725882741
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,15,0,18,1.85416,2.0,0.0,5.0,100000,1.0
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,16,1,14,1.79853,2.0,0.0,5.0,84473,0.8447315526844732
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,17,2,7,1.7025,2.0,0.0,4.0,51347,0.5134748652513474
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,18,1,14,1.57564,1.0,0.0,4.0,80202,0.8020219797802022
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,19,0,18,1.70462,2.0,0.0,4.0,100000,1.0
restored-christian-inclusive,exploratory-sensitivity,mispar_gadol,20,2,7,1.44177,1.0,0.0,4.0,42723,0.42723572764272355
full-christian-expansion,exploratory-sensitivity,standard,2,4,7,2.64387,2.0,0.0,6.0,27171,0.2717172828271717
full-christian-expansion,exploratory-sensitivity,standard,3,7,2,2.88241,3.0,0.0,6.0,2276,0.02276977230227698
full-christian-expansion,exploratory-sensitivity,standard,4,3,11,3.23645,3.0,0.0,7.0,63808,0.6380836191638084
full-christian-expansion,exploratory-sensitivity,standard,5,3,11,2.86363,3.0,0.0,6.0,55209,0.5520944790552095
full-christian-expansion,exploratory-sensitivity,standard,6,5,4,2.96232,3.0,0.0,7.0,17184,0.17184828151718481
full-christian-expansion,exploratory-sensitivity,standard,7,5,4,3.23545,3.0,0.0,7.0,21912,0.2191278087219128
full-christian-expansion,exploratory-sensitivity,standard,8,3,11,3.81857,4.0,1.0,8.0,74791,0.7479125208747912
full-christian-expansion,exploratory-sensitivity,standard,9,3,11,4.18228,4.0,1.0,8.0,80222,0.8022219777802222
full-christian-expansion,exploratory-sensitivity,standard,10,4,7,4.10888,4.0,1.0,8.0,59717,0.5971740282597174
full-christian-expansion,exploratory-sensitivity,standard,11,6,3,4.11984,4.0,1.0,8.0,22665,0.22665773342266576
full-christian-expansion,exploratory-sensitivity,standard,12,11,1,3.82128,4.0,1.0,8.0,133,0.0013399866001339987
full-christian-expansion,exploratory-sensitivity,standard,13,5,4,3.56843,3.0,1.0,7.0,28521,0.2852171478285217
full-christian-expansion,exploratory-sensitivity,standard,14,2,15,3.30373,3.0,0.0,7.0,85086,0.8508614913850862
full-christian-expansion,exploratory-sensitivity,standard,15,1,18,3.17394,3.0,0.0,7.0,96240,0.9624003759962401
full-christian-expansion,exploratory-sensitivity,standard,16,2,15,2.81762,3.0,0.0,6.0,77995,0.7799522004779952
full-christian-expansion,exploratory-sensitivity,standard,17,4,7,2.74189,3.0,0.0,6.0,29513,0.29513704862951373
full-christian-expansion,exploratory-sensitivity,standard,18,1,18,2.46788,2.0,0.0,6.0,92173,0.9217307826921731
full-christian-expansion,exploratory-sensitivity,standard,19,2,15,2.82534,3.0,0.0,6.0,78452,0.7845221547784522
full-christian-expansion,exploratory-sensitivity,standard,20,4,7,2.26213,2.0,0.0,5.0,18774,0.18774812251877482
full-christian-expansion,exploratory-sensitivity,mispar_gadol,2,3,8,2.22449,2.0,0.0,5.0,38556,0.3855661443385566
full-christian-expansion,exploratory-sensitivity,mispar_gadol,3,7,2,2.47478,2.0,0.0,6.0,979,0.00979990200097999
full-christian-expansion,exploratory-sensitivity,mispar_gadol,4,2,11,2.58957,2.0,0.0,6.0,74351,0.7435125648743512
full-christian-expansion,exploratory-sensitivity,mispar_gadol,5,2,11,2.63604,2.0,0.0,6.0,75042,0.7504224957750423
full-christian-expansion,exploratory-sensitivity,mispar_gadol,6,1,16,2.30466,2.0,0.0,6.0,90738,0.9073809261907381
full-christian-expansion,exploratory-sensitivity,mispar_gadol,7,5,4,2.29724,2.0,0.0,6.0,7550,0.07550924490755093
full-christian-expansion,exploratory-sensitivity,mispar_gadol,8,3,8,2.43766,2.0,0.0,6.0,44518,0.44518554814451855
full-christian-expansion,exploratory-sensitivity,mispar_gadol,9,2,11,3.00462,3.0,0.0,7.0,81533,0.8153318466815331
full-christian-expansion,exploratory-sensitivity,mispar_gadol,10,6,3,3.20629,3.0,0.0,7.0,9702,0.0970290297097029
full-christian-expansion,exploratory-sensitivity,mispar_gadol,11,4,5,3.64493,3.0,1.0,8.0,49895,0.4989550104498955
full-christian-expansion,exploratory-sensitivity,mispar_gadol,12,12,1,3.65367,4.0,1.0,8.0,17,0.0001799982000179998
full-christian-expansion,exploratory-sensitivity,mispar_gadol,13,4,5,3.45555,3.0,0.0,7.0,45674,0.45674543254567457
full-christian-expansion,exploratory-sensitivity,mispar_gadol,14,2,11,3.19146,3.0,0.0,7.0,83725,0.8372516274837252
full-christian-expansion,exploratory-sensitivity,mispar_gadol,15,1,16,2.97916,3.0,0.0,7.0,95353,0.9535304646953531
full-christian-expansion,exploratory-sensitivity,mispar_gadol,16,1,16,2.90068,3.0,0.0,6.0,95073,0.950730492695073
full-christian-expansion,exploratory-sensitivity,mispar_gadol,17,4,5,2.76894,3.0,0.0,6.0,29887,0.2988770112298877
full-christian-expansion,exploratory-sensitivity,mispar_gadol,18,1,16,2.51458,2.0,0.0,6.0,92547,0.925470745292547
full-christian-expansion,exploratory-sensitivity,mispar_gadol,19,2,11,2.63623,2.0,0.0,6.0,74866,0.7486625133748662
full-christian-expansion,exploratory-sensitivity,mispar_gadol,20,3,8,2.29265,2.0,0.0,6.0,40385,0.4038559614403856
