anchors,one_digit_anchor,two_digit_anchors,anchor_incidences,pairwise_shared_anchor_links,occupied_anchors,nodes_with_anchor,theological_anchor_set
9;33;36;55;86,9,33;36;55;86,7,3,5,4,no
9;33;36;72;86,9,33;36;72;86,7,3,5,3,no
9;33;42;55;72,9,33;42;55;72,8,3,5,4,no
9;33;42;55;86,9,33;42;55;86,8,3,5,4,no
9;33;42;72;86,9,33;42;72;86,8,3,5,3,no
9;33;55;72;86,9,33;55;72;86,7,3,5,4,no
9;36;42;55;72,9,36;42;55;72,8,3,5,4,no
9;36;42;55;86,9,36;42;55;86,8,3,5,4,no
9;36;42;72;86,9,36;42;72;86,8,3,5,3,no
9;36;55;72;86,9,36;55;72;86,7,3,5,4,no
9;42;55;72;86,9,42;55;72;86,8,3,5,4,no
