analysis_layer,value_system,metric,value,frequency,proportion
full-christian-expansion,combined,strict_8,10,8976,0.08976
full-christian-expansion,combined,strict_8,11,11690,0.1169
full-christian-expansion,combined,strict_8,12,13098,0.13098
full-christian-expansion,combined,strict_8,13,13268,0.13268
full-christian-expansion,combined,strict_8,14,11812,0.11812
full-christian-expansion,combined,strict_8,15,9697,0.09697
full-christian-expansion,combined,strict_8,16,7259,0.07259
full-christian-expansion,combined,strict_8,17,4884,0.04884
full-christian-expansion,combined,strict_8,18,3007,0.03007
full-christian-expansion,combined,strict_8,19,1604,0.01604
full-christian-expansion,combined,strict_8,20,845,0.00845
full-christian-expansion,combined,strict_8,21,375,0.00375
full-christian-expansion,combined,strict_8,22,146,0.00146
full-christian-expansion,combined,strict_8,23,49,0.00049
full-christian-expansion,combined,strict_8,24,26,0.00026
full-christian-expansion,combined,strict_8,25,5,5e-05
full-christian-expansion,combined,strict_8,26,2,2e-05
full-christian-expansion,combined,strict_8,27,1,1e-05
full-christian-expansion,combined,strict_12,0,5,5e-05
full-christian-expansion,combined,strict_12,1,63,0.00063
full-christian-expansion,combined,strict_12,2,313,0.00313
full-christian-expansion,combined,strict_12,3,1083,0.01083
full-christian-expansion,combined,strict_12,4,2856,0.02856
full-christian-expansion,combined,strict_12,5,5740,0.0574
full-christian-expansion,combined,strict_12,6,9212,0.09212
full-christian-expansion,combined,strict_12,7,12995,0.12995
full-christian-expansion,combined,strict_12,8,14871,0.14871
full-christian-expansion,combined,strict_12,9,14617,0.14617
full-christian-expansion,combined,strict_12,10,12921,0.12921
full-christian-expansion,combined,strict_12,11,10007,0.10007
full-christian-expansion,combined,strict_12,12,6902,0.06902
full-christian-expansion,combined,strict_12,13,4177,0.04177
full-christian-expansion,combined,strict_12,14,2255,0.02255
full-christian-expansion,combined,strict_12,15,1159,0.01159
full-christian-expansion,combined,strict_12,16,470,0.0047
full-christian-expansion,combined,strict_12,17,241,0.00241
full-christian-expansion,combined,strict_12,18,71,0.00071
full-christian-expansion,combined,strict_12,19,29,0.00029
full-christian-expansion,combined,strict_12,20,7,7e-05
full-christian-expansion,combined,strict_12,21,6,6e-05
