scenario_type,omitted,metric,status,observed,control_mean,control_median,control_interval_2_5,control_interval_97_5,simulations_at_least_observed,empirical_upper_tail,holm_adjusted_upper_tail,simulations,seed
leave_one_anchor_out,42,pairwise_shared_anchor_links,robustness-primary,2,0.15706,0.0,0.0,1.0,1517,0.015179848201517986,0.03587964120358796,100000,20260719
leave_one_anchor_out,72,anchor_incidences,robustness-primary,7,1.05509,1.0,0.0,3.0,4,4.999950000499995e-05,0.0003499965000349996,100000,20260719
leave_one_anchor_out,72,pairwise_shared_anchor_links,robustness-primary,3,0.1571,0.0,0.0,1.0,1150,0.011509884901150989,0.03587964120358796,100000,20260719
leave_one_route_out,exact_decimal,anchor_incidences,robustness-primary,7,1.04531,1.0,0.0,3.0,4,4.999950000499995e-05,0.00044999550004499957,100000,20260719
leave_one_route_out,exact_decimal,pairwise_shared_anchor_links,robustness-primary,2,0.15463,0.0,0.0,1.0,1487,0.014879851201487986,0.05369946300536995,100000,20260719
leave_one_route_out,exact_base12_text,anchor_incidences,robustness-primary,6,1.03797,1.0,0.0,3.0,61,0.0006199938000619994,0.0037199628003719964,100000,20260719
leave_one_route_out,exact_base12_text,pairwise_shared_anchor_links,robustness-primary,2,0.15323,0.0,0.0,1.0,1468,0.014689853101468985,0.05369946300536995,100000,20260719
leave_one_route_out,first_base12_digit_sum,anchor_incidences,robustness-primary,6,0.21461,0.0,0.0,2.0,0,9.99990000099999e-06,0.00011999880001199988,100000,20260719
leave_one_route_out,first_base12_digit_sum,pairwise_shared_anchor_links,robustness-primary,2,0.00685,0.0,0.0,0.0,13,0.00013999860001399987,0.000979990200097999,100000,20260719
leave_one_route_out,palindrome_center,anchor_incidences,robustness-primary,7,1.04027,1.0,0.0,3.0,0,9.99990000099999e-06,0.00011999880001199988,100000,20260719
leave_one_route_out,palindrome_center,pairwise_shared_anchor_links,robustness-primary,3,0.14801,0.0,0.0,1.0,1073,0.01073989260107399,0.05369946300536995,100000,20260719
leave_one_route_out,palindrome_outer_frame,anchor_incidences,robustness-primary,7,0.96888,1.0,0.0,3.0,0,9.99990000099999e-06,0.00011999880001199988,100000,20260719
leave_one_route_out,palindrome_outer_frame,pairwise_shared_anchor_links,robustness-primary,2,0.13907,0.0,0.0,1.0,1269,0.012699873001269988,0.05369946300536995,100000,20260719
leave_one_route_out,repeated_outer_sum,anchor_incidences,robustness-primary,7,1.07676,1.0,0.0,3.0,4,4.999950000499995e-05,0.00044999550004499957,100000,20260719
leave_one_route_out,repeated_outer_sum,pairwise_shared_anchor_links,robustness-primary,2,0.15721,0.0,0.0,1.0,1518,0.015189848101518985,0.05369946300536995,100000,20260719
