comparison,group,completion_hits,total,proportion,raw_odds_ratio,haldane_corrected_odds_ratio,fisher_two_sided
exact_4_3_4_no_finals,repeated_X_Y_X,0,30,0.0,0.0,0.19185524637407286,0.16464238820964872
exact_4_3_4_no_finals,nonrepeated,173,2203,0.07852927825692238,0.0,0.19185524637407286,0.16464238820964872
all_three_word_controls,repeated_X_Y_X,115,1390,0.08273381294964029,1.0799564270152506,1.0841867014312951,0.41930006568673844
all_three_word_controls,nonrepeated,12420,161130,0.07708061813442561,1.0799564270152506,1.0841867014312951,0.41930006568673844
